payment_id,student_id,payment_date,amount,payment_method,status,semester
PAY000001,STU000001,2024-09-09,519615,Credit Card,Pending,Fall 2023
PAY000002,STU000001,2024-08-12,514918,Mobile Money,Completed,Fall 2023
PAY000003,STU000001,2023-12-10,545916,Credit Card,Completed,Spring 2024
PAY000004,STU000001,2024-11-16,488769,Mobile Money,Failed,Fall 2023
PAY000005,STU000001,2025-11-02,512886,Cash,Completed,Spring 2025
PAY000006,STU000001,2024-04-13,547948,Bank Transfer,Pending,Spring 2025
PAY000007,STU000001,2025-06-30,542161,Credit Card,Completed,Fall 2024
PAY000008,STU000001,2024-02-16,510856,Bank Transfer,Failed,Fall 2023
PAY000009,STU000002,2024-05-24,954287,Cash,Pending,Fall 2024
PAY000010,STU000002,2023-12-05,1030281,Mobile Money,Failed,Fall 2023
PAY000011,STU000002,2024-02-22,994000,Bank Transfer,Failed,Fall 2024
PAY000012,STU000002,2025-09-27,964544,Credit Card,Pending,Spring 2025
PAY000013,STU000002,2024-02-24,955357,Cash,Pending,Spring 2024
PAY000014,STU000002,2024-01-25,1023241,Bank Transfer,Failed,Spring 2024
PAY000015,STU000002,2025-06-30,993899,Mobile Money,Failed,Fall 2023
PAY000016,STU000003,2025-04-02,742003,Cash,Pending,Spring 2025
PAY000017,STU000003,2025-02-08,707138,Bank Transfer,Pending,Fall 2024
PAY000018,STU000003,2024-08-12,763730,Bank Transfer,Pending,Fall 2024
PAY000019,STU000003,2024-08-13,781389,Cash,Failed,Fall 2023
PAY000020,STU000003,2025-05-10,760014,Bank Transfer,Completed,Spring 2025
PAY000021,STU000003,2025-05-19,737797,Bank Transfer,Completed,Spring 2024
PAY000022,STU000003,2025-02-09,714683,Mobile Money,Pending,Spring 2024
PAY000023,STU000003,2025-04-23,768247,Bank Transfer,Pending,Spring 2025
PAY000024,STU000004,2024-11-28,1255067,Credit Card,Failed,Fall 2023
PAY000025,STU000004,2025-01-24,1224780,Bank Transfer,Completed,Spring 2024
PAY000026,STU000004,2024-06-04,1284498,Cash,Pending,Fall 2024
PAY000027,STU000005,2024-03-21,1287274,Credit Card,Pending,Fall 2024
PAY000028,STU000005,2024-04-17,1217295,Cash,Completed,Fall 2024
PAY000029,STU000005,2025-03-31,1263470,Cash,Pending,Fall 2023
PAY000030,STU000005,2025-06-20,1246284,Cash,Pending,Spring 2024
PAY000031,STU000005,2024-02-24,1221075,Cash,Completed,Spring 2024
PAY000032,STU000005,2023-11-24,1290814,Mobile Money,Completed,Spring 2024
PAY000033,STU000006,2024-12-29,525304,Mobile Money,Pending,Fall 2024
PAY000034,STU000006,2024-11-05,474182,Mobile Money,Failed,Fall 2023
PAY000035,STU000007,2025-06-20,998878,Credit Card,Failed,Spring 2024
PAY000036,STU000007,2024-05-21,989526,Bank Transfer,Completed,Spring 2025
PAY000037,STU000007,2024-06-25,969055,Credit Card,Pending,Spring 2024
PAY000038,STU000007,2025-11-14,1046796,Cash,Failed,Fall 2024
PAY000039,STU000007,2024-07-21,987988,Mobile Money,Failed,Spring 2025
PAY000040,STU000007,2024-12-07,1040327,Bank Transfer,Failed,Spring 2025
PAY000041,STU000008,2023-12-25,772215,Bank Transfer,Pending,Fall 2023
PAY000042,STU000009,2024-08-19,746844,Bank Transfer,Pending,Fall 2023
PAY000043,STU000009,2024-03-06,784058,Mobile Money,Failed,Spring 2024
PAY000044,STU000009,2025-02-07,725652,Bank Transfer,Completed,Spring 2025
