grade_id,student_id,course_code,grade,letter_grade,semester,exam_date
GRD000001,STU000001,PH101,77.45,C,Fall 2023,2025-04-01
GRD000002,STU000001,EN201,67.93,D,Spring 2025,2025-07-18
GRD000003,STU000001,CS101,79.72,C,Fall 2023,2025-02-06
GRD000004,STU000001,BA301,92.85,A,Fall 2023,2024-11-29
GRD000005,STU000001,MA201,66.49,D,Spring 2025,2025-07-30
GRD000006,STU000001,CS401,66.49,D,Spring 2024,2025-05-19
GRD000007,STU000002,CS401,93.69,A,Fall 2024,2025-08-28
GRD000008,STU000002,MA201,81.51,B,Spring 2025,2025-01-30
GRD000009,STU000002,CS201,62.96,D,Fall 2023,2025-03-31
GRD000010,STU000002,CS101,78.14,C,Spring 2025,2025-09-09
GRD000011,STU000002,EN101,63.05,D,Spring 2025,2025-08-16
GRD000012,STU000003,MA201,63.01,D,Fall 2024,2025-02-20
GRD000013,STU000003,EN101,73.63,C,Fall 2023,2025-06-20
GRD000014,STU000003,CS101,41.3,F,Spring 2025,2025-07-03
GRD000015,STU000003,CS201,44.13,F,Spring 2024,2024-12-03
GRD000016,STU000003,BA301,61.57,D,Fall 2023,2025-01-05
GRD000017,STU000004,PH101,54.81,F,Fall 2023,2025-05-06
GRD000018,STU000004,CS101,74.71,C,Fall 2024,2025-03-25
GRD000019,STU000004,EN201,56.38,F,Fall 2023,2025-05-15
GRD000020,STU000004,BA201,48.82,F,Fall 2024,2025-08-21
GRD000021,STU000004,MA201,91.98,A,Fall 2023,2025-02-04
GRD000022,STU000005,CS301,66.61,D,Fall 2023,2024-12-21
GRD000023,STU000005,BA201,71.01,C,Spring 2025,2025-01-25
GRD000024,STU000005,CS401,48.63,F,Spring 2024,2025-07-26
GRD000025,STU000005,EN201,61.83,D,Fall 2024,2025-05-22
GRD000026,STU000006,EN201,71.66,C,Fall 2023,2025-05-12
GRD000027,STU000006,MA201,52.74,F,Fall 2024,2025-04-01
GRD000028,STU000006,BA301,75.64,C,Spring 2025,2025-03-07
GRD000029,STU000006,BA101,60.99,D,Fall 2023,2025-03-23
GRD000030,STU000006,CS101,65.62,D,Fall 2024,2025-04-01
GRD000031,STU000007,MA201,60.97,D,Fall 2023,2025-05-02
GRD000032,STU000007,CS201,97.78,A,Spring 2024,2025-06-24
GRD000033,STU000007,CS401,69.8,D,Fall 2023,2025-09-24
GRD000034,STU000007,EN101,54.13,F,Spring 2024,2025-06-30
GRD000035,STU000007,PH101,82.34,B,Fall 2023,2024-11-27
GRD000036,STU000008,EN101,51.69,F,Fall 2023,2025-06-21
GRD000037,STU000008,CS301,73.13,C,Spring 2025,2024-12-04
GRD000038,STU000008,CS401,40.6,F,Spring 2024,2025-03-21
GRD000039,STU000008,EN201,50.08,F,Fall 2024,2025-04-17
GRD000040,STU000009,PH101,72.95,C,Fall 2023,2025-07-23
GRD000041,STU000009,MA201,81.08,B,Fall 2024,2025-04-22
GRD000042,STU000009,CS101,72.57,C,Fall 2024,2024-12-18
GRD000043,STU000009,BA101,68.27,D,Fall 2024,2025-03-15
GRD000044,STU000009,CS401,65.48,D,Spring 2025,2025-03-29
GRD000045,STU000009,MA101,47.82,F,Fall 2024,2025-02-01
GRD000046,STU000010,BA101,59.2,F,Spring 2025,2025-05-12
GRD000047,STU000010,CS301,63.09,D,Fall 2024,2025-10-25
GRD000048,STU000010,PH101,85.86,B,Spring 2024,2025-05-22
GRD000049,STU000010,CS401,75.15,C,Fall 2024,2025-03-30
GRD000050,STU000011,MA101,43.55,F,Spring 2024,2025-08-21
GRD000051,STU000011,CS301,74.86,C,Spring 2024,2025-08-28
GRD000052,STU000011,EN201,64.22,D,Spring 2024,2025-09-20
GRD000053,STU000011,BA101,59.85,F,Fall 2023,2025-06-09
GRD000054,STU000012,EN101,79.18,C,Spring 2024,2025-02-04
